shop_name,title,price,image_small
Maxima,"Šaltai rūkytas ŠVARCVALDO kumpis WELL DONE, nerūš., 80 g",1.29,https://cdn.barbora.lt/products/efe6949e-3a46-427b-b3ef-1554854db851_s.png
Maxima,"Sūrio kamuoliukai WELL DONE PREMIUM, picos skonio, 39 %, 24 g",1.49,https://cdn.barbora.lt/products/0fca3599-9dfe-4485-9f16-89e37f368496_s.png
Maxima,"Ramunėlių žiedų arbata ŽOLYNĖLIS, 24 g",0.89,https://cdn.barbora.lt/products/c86efa60-4a59-442a-8d94-5482cce70091_s.png
Maxima,"Maistinė plėvelė UNIWELL, 30 m, 1 vnt.",0.89,https://cdn.barbora.lt/products/234cfed2-fb15-4d83-b45e-bf4e4630c23d_s.png
Maxima,"Virta kiaulienos dešra WELL DONE, a. r., 200 g",1.25,https://cdn.barbora.lt/products/e399cd5e-327c-4c4e-b4f1-4f2b1b6b96d5_s.png
Maxima,"Atšaldytos surimio lazdelės VIČI CLASSIC, 500 g",2.99,https://cdn.barbora.lt/products/656e005b-b052-46ca-86e0-9c7ab5da22dc_s.png
Maxima,"Glaistytas varškės sūrelis VILKYŠKIŲ MURR šokoladinės vyšnios sk., 28,5 % rieb., 40 g",0.59,https://cdn.barbora.lt/products/aa887856-55cd-4732-95fc-d42d4235106f_s.png
Maxima,"K. r. dešrelės TARCZYNSKI KABANOSI su kiauliena, II r., 105 g",1.49,https://cdn.barbora.lt/products/6951cedd-83f1-4b60-8e0e-7534657aee90_s.png
Maxima,"Sviestas su druska WELL DONE PREMIUM, 80 % rieb., 125 g",1.59,https://cdn.barbora.lt/products/3003cec5-6614-447f-bcee-0fea2bcc1e8e_s.png
Maxima,"Konservuotas kačių ėdalas FELIX su mėsa, 340 g",1.43,https://cdn.barbora.lt/products/9eb17462-505b-4e98-8ca9-b03d9b666c84_s.png
Maxima,"Gazuotas gėrimas COCA-COLA ZERO, 330 ml",1.02,https://cdn.barbora.lt/products/23e40859-1047-44ea-a893-bf8f72da1f67_s.png
Maxima,"Šokoladinis kiaušinis KINDER SURPRISE, 20 g",1.39,https://cdn.barbora.lt/products/0e4532c0-8858-42f6-83f6-3ad8d077a20c_s.png
Maxima,"Kepintų riešutų mišinys THE BEST OF ARIMEX DELUXE, 140 g",2.59,https://cdn.barbora.lt/products/72c7f7ac-afb6-4e85-8626-d0de66cbb8c4_s.png
Maxima,"Šald. kepamų daržov. mišinys HORTEX su itališk. prieskoniais, 400 g",1.56,https://cdn.barbora.lt/products/27d60480-3e33-4d16-a386-ea811de0ef50_s.png
Maxima,"Migdolų miltai WELL DONE, 300 g",3.99,https://cdn.barbora.lt/products/44f8f0b2-ae4d-47fa-9e41-f1f218389873_s.png
Maxima,"Aliuminio folija UNIWELL, 10 m x 29 cm, 1 vnt.",1.49,https://cdn.barbora.lt/products/39b88d54-ed8c-4a3a-9894-08b0c627f109_s.png
Maxima,"Užrišami šiukšlių maišai HOME EXPERT (60 l), 10 vnt.",1.29,https://cdn.barbora.lt/products/b3801079-2501-40d3-b8c8-1d25d1b5f7a3_s.png
Maxima,"Plikyta raikyta KLAIPĖDOS duona, 380 g",1.15,https://cdn.barbora.lt/products/50dd4385-de2e-4252-aec5-7dd940ec1851_s.png
Maxima,"Kalėdinis pyragas-panetonė WELL DONE, 500 g",3.99,https://cdn.barbora.lt/products/f2b90453-3646-43f1-b145-8d84c22df803_s.png
Maxima,"Konservuoti žalieji žirneliai BONDUELLE, 200 g",0.89,https://cdn.barbora.lt/products/072c5bb8-e20d-422a-bdff-e1a06887dce0_s.png
Maxima,"Garuose ruoštos baltosios pupelės BONDUELLE VAPEUR, 310 g",1.17,https://cdn.barbora.lt/products/06353d56-b55c-4360-b89d-7d7e117e2983_s.png
Maxima,"Indų ploviklis BALANCE, 450 ml",1.39,https://cdn.barbora.lt/products/f8a1bd3a-3555-42de-ae00-fcc582ee36ab_s.png
Maxima,"Šaldytos baltakojės blyšk. krevetės WELL DONE PREMIUM, 800 g",12.99,https://cdn.barbora.lt/products/26378386-605d-4673-a7b9-85a0d6adac7c_s.png
Maxima,"Vištienos prieskoniai SANTA MARIA, 30 g",0.49,https://cdn.barbora.lt/products/e499870d-53eb-4492-bf1c-1689ad66be85_s.png
Maxima,"Česnakų granulės SAUDA, 45 g",0.59,https://cdn.barbora.lt/products/4dc12c72-34f5-404f-a77d-b9b8ba8adc2e_s.png
Maxima,"Šaldyti aliaskinių rudagalvių menkių filė kepsneliai FINDUS, 250 g",2.15,https://cdn.barbora.lt/products/72725d1c-789f-46e3-b3eb-08c446da0830_s.png
Maxima,"Ekologiški česnakų milteliai SANTA MARIA, 46 g",1.64,https://cdn.barbora.lt/products/397add33-6244-4e9e-9024-b21e77fbf342_s.png
Maxima,"	VILKYŠKIŲ glaistytas sūrelis MURR, karamelės ir spragėsių sk., 29 %, 40 g",0.59,https://cdn.barbora.lt/products/d2bf31ac-82b3-4141-8dd1-0b0a32e8b9ba_s.png
Maxima,"Džiovintos datulės ARIMEX PREMIUM be kauliukų, 150 g",0.95,https://cdn.barbora.lt/products/1a0f10d8-3c19-48b2-bf77-84d68e5070c0_s.png
Maxima,"Maltos saldžiosios paprikos SANTA MARIA, 22 g",0.49,https://cdn.barbora.lt/products/eade74de-661e-4aca-825b-0241ef03d455_s.png
Maxima,"Viščiukų šlaunelių mėsos iešmeliai su prancūzišku marinatu, 480 g",4.79,https://cdn.barbora.lt/products/fb91025d-3f1f-49f3-8ce4-5a747e5a5a56_s.png
Maxima,"Maskarponės sūris WELL DONE, 80 % rieb. s. m., 250 g",1.99,https://cdn.barbora.lt/products/723916d3-089d-4fd4-97ad-26c761aa9d08_s.png
Maxima,"Juodasis šokoladas ROSHEN BITTER, 85 g",1.43,https://cdn.barbora.lt/products/fd681d5a-bd97-4fa0-bc4a-21412b5eb596_s.png
Maxima,"Lydytas RAMBYNO tep. sūrelis su baravykais, 50 % rieb. s. m., 175 g",1.99,https://cdn.barbora.lt/products/5ad22f8c-3b90-416a-9f75-28b679d20021_s.png
Maxima,"Masdamo sūris LANDANA, 45 % rieb. s. m., 1 kg",8.99,https://cdn.barbora.lt/products/02b82109-71eb-459c-92f1-508e389dbb97_s.png
Maxima,"Gazuotas sulčių gėrimas SANPELLEGRINO, apelsinų skonio, 330 ml",0.77,https://cdn.barbora.lt/products/20905700-c910-4a57-ad61-f0ce6a277880_s.png
Maxima,"Meduoliai, WELL DONE PREMIUM 200g, 200 g",1.99,https://cdn.barbora.lt/products/71128a44-5c8a-4c33-9075-14111cf375e9_s.png
Maxima,"Menkių kepenėlės WELL DONE PREMIUM, 250 g",3.29,https://cdn.barbora.lt/products/c711dbcd-3203-413a-b67b-5b73349fa1ac_s.png
Maxima,"Raudonosios pupelės BONDUELLE su aitriųjų paprikų padažu, 430 g",1.31,https://cdn.barbora.lt/products/763d2a4f-6bae-49eb-8f64-562d148d2aa8_s.png
Maxima,"STUDENTŲ MAISTAS su riešutais ir dž. vaisiais ARIMEX PREMIUM, 300 g",3.49,https://cdn.barbora.lt/products/ac652ac3-1423-4ea1-9e7e-343d76a336d1_s.png
Maxima,"Konserv. kačių ėdalas FELIX su žuvimi drebučiuose, 4 x 85 g, 340 g",1.43,https://cdn.barbora.lt/products/38ee63a9-575f-4a8b-ba08-1ad2696e71c7_s.png
Maxima,"Kūčiukai JDC, 500 g",2.99,https://cdn.barbora.lt/products/662b3281-f741-4389-9a03-bb0a6393d8ff_s.png
Maxima,"Visų grūdo dalių bemielė duona BEATOS VIRTUVĖ, 300 g",1.45,https://cdn.barbora.lt/products/a0706fff-3954-414b-aefa-e8b71f9604ea_s.png
Maxima,"Jog. gėrimas ACTIMEL ACTIKIDS, braškių sk., 4x100g, 1,4%rieb, 400 g",1.99,https://cdn.barbora.lt/products/70aeb7b0-28f5-48d0-af4c-3d3d00f47b6e_s.png
Maxima,"Bulvių traškučiai su trumais WELL DONE PREMIUM, 100 g",1.99,https://cdn.barbora.lt/products/9f2bfbd8-118d-4914-838b-3a422ff0e3e8_s.png
Maxima,"Vaikiški ausų krapštukai BELLA HAPPY, 56 vnt.",1.05,https://cdn.barbora.lt/products/700bdc0d-1936-41d3-acfb-4845a4389e1f_s.png
Maxima,"Vytinta JUBILIEJAUS dešra, a.r., 200 g",3.95,https://cdn.barbora.lt/products/0962053d-53cd-44be-b7b1-3a367e3f27e1_s.png
Maxima,"Svarainių arbatos koncentratas ŽOLYNĖLIS, 520 ml",4.19,https://cdn.barbora.lt/products/0abc0665-f1db-4c68-96a0-e3c5e074fd61_s.png
Maxima,"Sausainiai MILKA CHOCO JAFFA su aviečių skonio įdaru, 147 g",1.65,https://cdn.barbora.lt/products/9f515b92-5e02-4ff8-95e7-db999c8659aa_s.png
Maxima,"Skystasis muilas NEUTRAL, papildymas, 500 ml",4.49,https://cdn.barbora.lt/products/f543f8e0-edb7-4bef-9bd1-569fc37c9269_s.png
Maxima,"Kalėdinis pyragas-panetonė WELL DONE PREMIUM, 500 g",6.99,https://cdn.barbora.lt/products/7c3a4942-073c-4c38-a343-0679769de9b5_s.png
Maxima,"KLAIPĖDOS plikyta raikyta duona su saulėgrąžomis, 400 g",1.15,https://cdn.barbora.lt/products/130bd6cb-d045-4b29-a811-a16bfdd856fb_s.png
Maxima,"Ekologiška visų grūdo dalių ruginė duona TREJOS GIRNOS, 400 g",1.49,https://cdn.barbora.lt/products/307526f2-3f92-4ed0-b5ba-2f059ee8e4ba_s.png
Maxima,"Šokoladas MILKA TENDER WINTER, 90 g	",1.49,https://cdn.barbora.lt/products/6cb2f830-d100-4a27-ba08-06abbd9520ae_s.png
Maxima,"Nuluptos persikų puselės WELL DONE PREMIUM,  lengvame sirupe, be kauliukų 560 g",2.79,https://cdn.barbora.lt/products/c7bdb7af-2c17-4c45-b676-5015795861a1_s.png
Maxima,"Ferm. jogurto gėrimas ACTIMEL, braškių sk., 1,5%rieb.,4x100g, 400 g",1.99,https://cdn.barbora.lt/products/3a2e596f-c55e-4d9c-91fc-1865bba5dd81_s.png
Maxima,"Trupintas kietasis sūris DŽIUGAS MILD, brandintas 12 mėn., 40 % rieb. s. m., 100 g",1.49,https://cdn.barbora.lt/products/dead02b9-8bb9-46dd-8f91-d983e0e2dc02_s.png
Maxima,"Šaldyti maži sviestiniai kruasanai WELL DONE, 350 g",3.29,https://cdn.barbora.lt/products/c6e653a7-7769-4826-aebe-8a404b96910c_s.png
Maxima,"Vatos lapeliai Bella, 120 vnt.",1.85,https://cdn.barbora.lt/products/0a6d1852-55f5-420c-bae2-10fd7f7efe4e_s.png
Maxima,"Gazuotas sulčių gėrimas SAN PELLEGRINO, mandarinų skonio, 330 ml",0.77,https://cdn.barbora.lt/products/0531e587-16ad-4892-bd13-e1ddb9df0e92_s.png
