shop_name,product_name,shelf_price,image_url
Rimi,"Raudonosios pupelės RIMI, 400 g / 240 g",1.19,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_808449_PCE_LT"
Rimi,"Klevų sir. sk. valg. ledai RIMI, 120 ml/ 73 g",0.39,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_808827_PCE_LT"
Rimi,"Šald. smulkinti špinatai porcijomis RIMI,400g",2.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_801484_PCE_LT"
Rimi,"Kokosų gėrimas I LOVE ECO, 400 ml",2.29,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_810075_PCE_LT"
Rimi,"Š. rūk. pjaustyta lašišos filė ZIGMAS, 100 g",3.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_248904_PCE_LT"
Rimi,"Sausainiai GAIDELIS KLASIKA, 160 g",0.75,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_196892_PCE_LT"
Rimi,"Šald. blyšk. krev. be k. RIMI, ASC, 200 g",4.39,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_150/d_ecommerce:backend-fallback.png/MAT_812094_PCE_LT"
Rimi,"Gaz.kolos sk.gaivusis gėrimas, COCA COLA, 1l",1.65,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_150/d_ecommerce:backend-fallback.png/MAT_1360568_PCE_LT"
Rimi,"Šiukšlių maišai PACLAN Eco, 60l, 15vnt",3.59,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_150/d_ecommerce:backend-fallback.png/MAT_7046692_PCE_LT"
Rimi,"Saldūs kukurūzai RIMI, 340g/285g",1.39,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_150/d_ecommerce:backend-fallback.png/MAT_801105_PCE_LT"
