product_name,shelf_price,per_unit_price,image_url
"Mar. agurkai KKF LEGENDINIAI, 660 g / 330 g",2.29,6.94,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_168512_PCE_LT"
"Š. rūk. pjaustyta lašišos filė ZIGMAS, 100 g",3.99,39.9,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_248904_PCE_LT"
"Valg. ledai ESKIMO KARVUTĖ KLASIKA, 70 ml/60g",1.09,18.17,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_274314_PCE_LT"
"Juodosios pupelės RIMI, 400 g / 240 g",0.93,3.88,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_811565_PCE_LT"
"Kempinėlės VILEDA TIP - TOP, 3vnt.",1.69,0.56,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_400765_PCE_LT"
"Riešutų mišinys ARIMEX PREMIUM, 300g",7.99,26.63,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_174563_PCE_LT"
"Baltosios pupelės RIMI, 400 g / 240 g",0.93,3.88,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_808456_PCE_LT"
"Kedrinės pinijos ARIMEX, 50g",3.99,79.8,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_147077_PCE_LT"
"Šald. pavasariškas darž. mišinys RIMI, 400 g",1.15,2.87,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_801516_PCE_LT"
"Vaniliniai valg. ledai KLASIKA, 1 l / 500 g",4.69,9.38,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_212298_PCE_LT"
